code,name_id,category,default_leg,is_taxable,is_at_cost_default,pph23_applicable,segment_scope,typical_vendor,catatan_verifikasi
INSURANCE,Asuransi Muatan,DOKUMEN,,FALSE,TRUE,FALSE,EXIM,asuransi,AT COST - terbukti selling=buying di 26.07-003
HANDLING,Jasa Handling,INTERNAL,,TRUE,FALSE,UNKNOWN,BOTH,internal,pendapatan jasa ISLI
HANDLING OPS FREELANCE,Upah Ops Freelance,INTERNAL,,TRUE,FALSE,UNKNOWN,BOTH,freelance,cek PPh21 vs PPh23
ADMINISTRASI,Biaya Administrasi,INTERNAL,,TRUE,FALSE,UNKNOWN,BOTH,internal,PERLU KONFIRMASI
MATERAI PELAYARAN,Materai Cadangan Pelayaran,INTERNAL,,FALSE,FALSE,FALSE,BOTH,internal,nominal 10rb/19rb
MATERAI INVOICING,Materai Cadangan Invoicing,INTERNAL,,FALSE,FALSE,FALSE,BOTH,internal,nominal 10rb
DELIVERY CHARGE DOC,Ongkir Dokumen,INTERNAL,,TRUE,FALSE,UNKNOWN,BOTH,TIKI/LION,
DELIVERY CHARGE INV,Ongkir Invoice,INTERNAL,,TRUE,FALSE,UNKNOWN,BOTH,TIKI/LION,
REIMBURSEMENT STORAGE,At Cost Reimbursement Storage,TERMINAL,,FALSE,TRUE,FALSE,EXIM,terminal,AT COST - terbukti di 26.06-004
REIMBURSEMENT LIFT ON,At Cost Reimbursement Lift On,TERMINAL,,FALSE,TRUE,FALSE,EXIM,terminal,AT COST - terbukti di 26.06-004
REIMBURSE INAP,Reimburse Inap,TERMINAL,,FALSE,TRUE,FALSE,DOM,,AT COST - terbukti di invoice Materee
